scene,frame_index,n_models,signal_var,signal_std,signal_endpoint_var,loss_mean,loss_ensmean,fail_top05,fail_top10,fail_top15,fail_top20,within_scene_pct,fail_within_scene
scene-0077,0,13,4.035566534894534,2.0088719558235995,10.621160704309348,2.0603297017207036,2.049937713008355,0,0,0,0,1.0,1
scene-0077,1,13,3.330551760566415,1.8249799342914472,9.196221548097839,1.478604241678669,1.177229951516703,0,0,0,0,0.88,1
scene-0077,2,13,2.8470345514339233,1.6873157829623722,6.929003389476198,1.967347830405442,1.846878537626748,0,0,0,0,0.96,1
scene-0077,3,13,2.7849075215370296,1.6688042190553778,8.096742838370272,1.1814220197307614,0.40061602085423137,0,0,0,0,0.68,0
scene-0077,4,13,1.173154226792265,1.0831224431209359,3.6599892813124506,0.8743346280882487,0.2525894709995599,0,0,0,0,0.52,0
scene-0077,5,13,1.344458789465954,1.1595079945675038,3.42716633510931,1.0575214228279533,0.8268677965898932,0,0,0,0,0.56,0
scene-0077,6,13,1.5304839999276325,1.2371273175900823,3.93368032922551,1.349367197122858,1.3294419845330807,0,0,0,0,0.76,0
scene-0077,7,13,5.041001711095679,2.245217519773013,16.227611111038662,1.3984618904326271,0.5265650457786812,0,0,0,0,0.84,1
scene-0077,8,13,1.7276890231248185,1.3144158486281343,5.099114856845274,1.391201194836511,1.2167354710939242,0,0,0,0,0.8,1
scene-0077,9,13,0.9145928941215585,0.9563435021589045,2.1012512748418426,1.6753087547014087,1.6728704009082298,0,0,0,0,0.92,1
scene-0077,10,13,1.4945193054070172,1.2225053396231107,4.611691452494222,1.1780489190160373,0.7444972475650314,0,0,0,0,0.64,0
scene-0077,11,13,2.38849822838367,1.5454766993984963,6.762279448463763,1.106477310162814,0.42019126401192347,0,0,0,0,0.6,0
scene-0077,12,13,1.5497763147226236,1.244900122388388,4.1354571457317615,1.2131785816312406,0.8770080337531619,0,0,0,0,0.72,0
scene-0077,13,13,0.1781570315621452,0.4220865214172862,0.5329897662034127,0.41512130444287926,0.2831943380211999,0,0,0,0,0.28,0
scene-0077,14,13,0.4019763659991342,0.6340160613100698,1.2275429438288312,0.658262841900426,0.4671401840610017,0,0,0,0,0.44,0
scene-0077,15,13,0.28991245414911904,0.5384351902960273,0.827630663330247,0.504547996851848,0.29267786329613854,0,0,0,0,0.4,0
scene-0077,16,13,0.16564191159218497,0.40699129178913024,0.432083379061756,0.36095581524975684,0.17469305578722716,0,0,0,0,0.16,0
scene-0077,17,13,0.13327755669949054,0.36507198837967636,0.3549556415505901,0.3184288926752712,0.16143458586957424,0,0,0,0,0.12,0
scene-0077,18,13,0.18571621677908978,0.43094804417596533,0.6009266808654513,0.4337480904369046,0.3863478391038427,0,0,0,0,0.36,0
scene-0077,19,13,0.11957411130292055,0.34579489773986044,0.38237705752994455,0.4286235297994244,0.3436312143554748,0,0,0,0,0.32,0
scene-0077,20,13,0.0977350624156672,0.3126260744334471,0.29709965843772107,0.39927765868158266,0.3301055402969657,0,0,0,0,0.24,0
scene-0077,21,13,0.010575481513754861,0.10283716017935764,0.031852986690693245,0.3899843432455305,0.38489999609228454,0,0,0,0,0.2,0
scene-0077,22,13,0.1148057154770206,0.3388299211655025,0.273024480426498,0.28618308976614065,0.10186183189165914,0,0,0,0,0.08,0
scene-0077,23,13,0.06803619147443069,0.26083748096167214,0.16182983671163964,0.27227155791056246,0.20068338061155658,0,0,0,0,0.04,0
scene-0077,24,13,0.04128430360269608,0.2031853921981009,0.1151203283247207,0.2653524980942609,0.2401648056634552,0,0,0,0,0.0,0
scene-0077,25,13,6.346962523546254,2.5193178686990363,24.148348974332052,0.7897718954556366,0.6708338852794854,0,0,0,0,0.48,0
scene-0078,0,13,4.249829714856896,2.06151151218151,14.848315513404438,1.4527077011831744,0.33288207929412683,0,0,0,0,0.08333333333333333,0
scene-0078,1,13,12.592329263315088,3.5485672127374293,40.1487892303102,2.2589217604137777,1.0457700471688458,0,0,0,1,0.20833333333333334,0
scene-0078,2,13,14.578218232059953,3.818143296428246,46.93794580665507,2.7194258317789965,1.0334191784980156,0,1,1,1,0.75,0
scene-0078,3,13,13.216341248230554,3.6354286196032723,40.817011496581316,2.5523660251101385,0.5310081830052569,0,0,1,1,0.5,0
scene-0078,4,13,13.0518918197998,3.6127402092871,39.86941053735531,2.67985009311928,0.3573608689280498,0,1,1,1,0.7083333333333334,0
scene-0078,5,13,11.61739518766352,3.4084300180088074,36.75249715385541,2.554416505852195,0.26526815597865777,0,0,1,1,0.5416666666666666,0
scene-0078,6,13,11.89185947036715,3.4484575494512253,36.35261787415926,2.616944953536309,0.5781873403165073,0,1,1,1,0.5833333333333334,0
scene-0078,7,13,8.561952035657907,2.926081344675487,26.337876989403867,2.296153314540113,0.6979132782254621,0,0,0,1,0.2916666666666667,0
scene-0078,8,13,8.952913464861894,2.99214195265898,26.284046978936114,2.285569667093485,0.6578875035262944,0,0,0,1,0.25,0
scene-0078,9,13,9.722170374688085,3.118039508198715,27.48393628470898,2.3002798799697413,0.7811351249485664,0,0,1,1,0.3333333333333333,0
scene-0078,10,13,8.137700806913914,2.8526655617008303,20.97488378002344,2.66551638939436,2.2473486737252064,0,1,1,1,0.6666666666666666,0
scene-0078,11,13,9.325948062282121,3.0538415254040476,25.051348529130927,2.373043785432875,2.089020788828511,0,0,1,1,0.4166666666666667,0
scene-0078,12,13,5.972192752247822,2.443807020255041,13.908942636266163,3.3968837640082157,3.3961627281628872,1,1,1,1,1.0,1
scene-0078,13,13,7.146809150638254,2.6733516698403625,16.779970937935296,3.33013559153513,3.3293625279999293,1,1,1,1,0.9583333333333334,1
scene-0078,14,13,6.7006572431985445,2.588562775595474,16.36118020238442,3.2125165084636653,3.212165165407427,1,1,1,1,0.9166666666666666,1
scene-0078,15,13,8.061568288192909,2.8392901028589717,19.84279995247343,3.0782770800654857,3.077684497508528,1,1,1,1,0.875,1
scene-0078,16,13,4.7399218171795265,2.1771361503542965,8.603007130253339,2.8056926820663253,2.8000693804957435,0,1,1,1,0.7916666666666666,0
scene-0078,17,13,6.49742560936165,2.549004827253501,14.153066402246187,2.6394661559032144,2.5185762611173104,0,1,1,1,0.625,0
scene-0078,18,13,2.4976343272383525,1.580390561613917,4.918502625798395,1.5855485717484281,1.2175318895815963,0,0,0,0,0.16666666666666666,0
scene-0078,19,13,2.6542163580606677,1.629176588973911,6.5562747485404405,1.2892873524365558,0.48607831127888623,0,0,0,0,0.041666666666666664,0
scene-0078,20,13,1.688491149610721,1.2994195433387636,4.268454660415494,1.0816606802423776,0.5073149272352212,0,0,0,0,0.0,0
scene-0078,21,13,1.4347659265607724,1.1978171507207485,4.388040582219376,1.5516286064337081,1.5181104658393159,0,0,0,0,0.125,0
scene-0078,22,13,3.6487960276984244,1.910182197513741,11.408713591514328,2.369610384062825,2.099620211645624,0,0,1,1,0.375,0
scene-0078,23,13,5.694028734174027,2.3862164055621666,17.09939333662571,2.4910231650748735,2.1568711924767343,0,0,1,1,0.4583333333333333,0
scene-0078,24,13,5.776749268522747,2.403486897930327,15.895475441597416,2.8194990951013845,2.692372205223547,0,1,1,1,0.8333333333333334,1
scene-0079,0,13,0.17164456652348678,0.41430009235273746,0.5067622623633506,0.9941271835653231,0.9809477510244604,0,0,0,0,0.28,0
scene-0079,1,13,0.24209352270827003,0.49203000183756074,0.7664568076963221,0.6294262305274152,0.5758670417224145,0,0,0,0,0.16,0
scene-0079,2,13,0.18738876468691815,0.4328842393607304,0.539288831519744,0.56326542897164,0.5221189328447458,0,0,0,0,0.12,0
scene-0079,3,13,0.21021787277152373,0.45849522655260405,0.5382956096729274,0.3873071610416426,0.18530973502161338,0,0,0,0,0.0,0
scene-0079,4,13,1.118285476244068,1.0574901778475618,3.4855577618900733,0.8975860674246667,0.5267574836391783,0,0,0,0,0.24,0
scene-0079,5,13,0.35438102988287357,0.5952991095935501,1.0675688333930788,0.5401104947084773,0.33762484925548925,0,0,0,0,0.08,0
scene-0079,6,13,0.17321126748860427,0.41618657773720225,0.5199775171496896,0.47754759782653405,0.3689397868783055,0,0,0,0,0.04,0
scene-0079,7,13,0.04280538705733088,0.206894627908341,0.14543755424375332,0.8570906992771904,0.8473958010085995,0,0,0,0,0.2,0
scene-0079,8,13,0.13957030715075303,0.3735910961877344,0.39295378882704873,1.0059177562773747,0.9847833423690348,0,0,0,0,0.32,0
scene-0079,9,13,0.08886905816348667,0.2981091380073524,0.28802749667070515,1.497128667998454,1.4927043116807803,0,0,0,0,0.72,0
scene-0079,10,13,0.6378160572251597,0.7986338693200782,2.5837435245227804,1.3844032736812104,1.2626919997800365,0,0,0,0,0.56,0
scene-0079,11,13,0.572574621905078,0.7566866074571943,1.87318399312712,1.5438878800603935,1.4389349756053065,0,0,0,0,0.76,0
scene-0079,12,13,0.03892140670874302,0.19728508993013896,0.1283559058143016,1.3005063720614003,1.296753385903442,0,0,0,0,0.52,0
scene-0079,13,13,1.1415329953603832,1.0684254748743045,3.964811881392241,1.2654697078664108,1.1335212833771842,0,0,0,0,0.48,0
scene-0079,14,13,0.4821678293488312,0.6943830566400877,1.4766145104343198,1.2070263551249172,1.1275357967553712,0,0,0,0,0.44,0
scene-0079,15,13,0.5043377582127482,0.7101674156230685,1.6417125124896175,1.1486655163672528,1.053997851244741,0,0,0,0,0.36,0
scene-0079,16,13,4.2241531168349296,2.055274462653329,13.14715250129701,1.4397206147470774,1.0935210882578315,0,0,0,0,0.64,0
scene-0079,17,13,6.043839506601938,2.4584221579301504,18.403751117372995,1.6055804449924642,1.3461035477529322,0,0,0,0,0.84,1
scene-0079,18,13,1.716963382153016,1.3103294937354557,4.902289730694759,1.1896841939608782,1.007997570358508,0,0,0,0,0.4,0
scene-0079,19,13,2.740088477979223,1.6553212612599473,8.94031966842286,1.5814251159972887,1.3661777615223907,0,0,0,0,0.8,1
scene-0079,20,13,0.27000845721678535,0.5196233801675838,0.8645742264134616,1.4205629721370674,1.3785770472008438,0,0,0,0,0.6,0
scene-0079,21,13,3.929235414901201,1.9822299096979648,12.93634223750203,1.711364520744598,1.4354798908327158,0,0,0,0,0.88,1
